,HOME_SCORE,AWAY_SCORE,TOTAL_GOALS,ATTENDANCE,HOME_POSSESSION,AWAY_POSSESSION,HOME_SOT,AWAY_SOT,HOME_TOTAL_SHOTS,AWAY_TOTAL_SHOTS
HOME_SCORE,1.0,-0.05197376840207354,0.760069633813365,0.03182855502413156,0.3331858331992747,-0.332904183012197,0.5993877027602383,-0.15617720476023914,0.3629740895071972,-0.19400495452584707
AWAY_SCORE,-0.05197376840207354,1.0,0.609459659555289,0.09608844115775368,-0.27609573577347635,0.27522795734993805,-0.2111256514612574,0.6237219891812914,-0.26383288358285456,0.4605180193142573
TOTAL_GOALS,0.760069633813365,0.609459659555289,1.0,0.08779515137468004,0.08485159613522203,-0.08519267859637125,0.3384640208815687,0.28188153915049313,0.11647989368170637,0.1456501948242363
ATTENDANCE,0.03182855502413156,0.09608844115775368,0.08779515137468004,1.0,0.05102728891013098,-0.05116973667312032,0.07373715325612712,-0.031852084533398065,0.10446114863297078,-0.06560414483996065
HOME_POSSESSION,0.3331858331992747,-0.27609573577347635,0.08485159613522203,0.05102728891013098,1.0,-0.9996782879450725,0.5467479068918513,-0.45863689569497845,0.6816389861463137,-0.5360292782194458
AWAY_POSSESSION,-0.332904183012197,0.27522795734993805,-0.08519267859637125,-0.05116973667312032,-0.9996782879450725,1.0,-0.5463670740631685,0.45839905402282033,-0.6787366970444891,0.536357408360878
HOME_SOT,0.5993877027602383,-0.2111256514612574,0.3384640208815687,0.07373715325612712,0.5467479068918513,-0.5463670740631685,1.0,-0.2786018692961027,0.7397717652900456,-0.28988439839699554
AWAY_SOT,-0.15617720476023914,0.6237219891812914,0.28188153915049313,-0.031852084533398065,-0.45863689569497845,0.45839905402282033,-0.2786018692961027,1.0,-0.38688644071492173,0.8078015192415045
HOME_TOTAL_SHOTS,0.3629740895071972,-0.26383288358285456,0.11647989368170637,0.10446114863297078,0.6816389861463137,-0.6787366970444891,0.7397717652900456,-0.38688644071492173,1.0,-0.3975904081509467
AWAY_TOTAL_SHOTS,-0.19400495452584707,0.4605180193142573,0.1456501948242363,-0.06560414483996065,-0.5360292782194458,0.536357408360878,-0.28988439839699554,0.8078015192415045,-0.3975904081509467,1.0
